Rank,ReleaseYear,year,Movie_first,Movie_second,DomesticGross,WorldwideGross,movieId
3835,2008-08-22,2008,Hamlet 2,NA,4886216,4934104,tt1104733
3836,2002-09-13,2002,Igby Goes Down,NA,4777465,4777465,tt0280760
3837,1994-04-29,1994,PCU,NA,4333569,4333569,tt0110759
3838,2007-03-09,2007,The Ultimate Gift,NA,3438735,3438735,"NA"
3839,2000-09-29,2000,Beautiful,NA,3134509,3134509,tt0210567
3840,2007-06-01,2007,Gracie,NA,2956339,3922043,tt0441007
3841,2012-08-09,2012,The Sapphires,NA,2450867,20395040,tt1673697
3842,2016-08-26,2016,Greater,NA,2000093,2000093,tt2950418
3843,2018-12-25,2018,Destroyer,NA,1533324,3703064,tt7137380
3844,2006-08-18,2006,Trust the Man,NA,1530535,2548378,"NA"
3845,2005-08-26,2005,Undiscovered,NA,1069318,1069318,tt0434424
3846,1998-11-06,1998,Velvet Goldmine,NA,1053788,4313644,tt0120879
3847,2010-05-14,2010,Princess Kaiulani,NA,883887,883887,"NA"
3848,2003-06-20,2003,The Legend of Suriyothai,NA,454255,454255,"NA"
3849,1991-10-25,1991,Due occhi diabolici,NA,349618,349618,"NA"
3850,2015-08-26,2015,Dheepan,NA,248795,7704357,tt4082068
3851,2010-01-22,2010,La fille du RER,NA,208163,208163,"NA"
3852,2002-10-25,2002,All or Nothing,NA,184255,184255,tt0286261
3853,2010-02-05,2010,Red Riding,The Year of Our Lord 1974,148826,148826,tt1754215
3854,2009-07-31,2009,Flammen og Citronen,NA,148089,1635241,"NA"
3855,2010-04-02,2010,Leaves of Grass,NA,70066,85527,"NA"
3856,2006-11-22,2006,Opal Dream,NA,14443,14443,tt0420835
3857,2015-05-08,2015,Skin Trade,NA,1242,1242,tt5350540
3858,2014-06-17,2014,Beneath Hill 60,NA,0,3440939,"NA"
3859,2012-09-13,2012,Veronika Decides to Die,NA,0,2243,"NA"
3860,1968-10-10,1968,Barbarella,NA,0,0,tt0062711
3861,2013-02-01,2013,A Haunting in Connecticut 2,The Ghosts of Georgia,0,0,"NA"
3862,2012-05-18,2012,Polisse,NA,176988,22744132,"NA"
3863,2015-11-12,2015,Heist,NA,50136,3324131,tt3276924
3864,2011-02-26,2011,Ultramarines,NA,0,0,"NA"
3865,1986-09-26,1986,Crocodile Dundee,NA,174803506,328203506,tt0090555
3866,2016-09-02,2016,Dofus - Livre 1,Julith,0,624747,"NA"
3868,2007-11-30,2007,Awake,NA,14373825,32968648,tt0211933
3869,2019-12-06,2019,Marriage Story,NA,0,0,tt7653254
3870,2016-11-17,2016,Manchester by the Sea,NA,47695371,77733867,tt4034228
3871,2009-12-16,2009,Crazy Heart,NA,39471742,47417251,tt1263670
3872,2008-08-15,2008,Star Wars,The Clone Wars,35161554,68695443,tt1185834
3873,2015-02-20,2015,The DUFF,NA,34030343,43528634,tt1666801
3874,2014-10-31,2014,Nightcrawler,NA,32381218,50334418,tt2872718
3875,1987-07-31,1987,The Lost Boys,NA,32222567,32222567,tt0093437
3876,2018-12-14,2018,Dragon Ball Super,Broly,30376755,122747755,tt7961060
3877,1979-11-07,1979,The Rose,NA,29200000,29200000,tt0079826
3878,2013-09-27,2013,Baggage Claim,NA,21569509,22885836,tt1171222
3879,2016-10-07,2016,Middle School,The Worst Years of My Life,20007149,23311293,tt4981636
3880,1991-03-01,1991,Haakon Haakonsen,NA,15024232,15024232,"NA"
3881,1999-04-23,1999,Election,NA,14943582,17202854,tt0126886
3882,2007-03-09,2007,The Namesake,NA,13610521,20288774,"NA"
3883,2013-10-18,2013,All is Lost,NA,6263670,10386814,tt2017038
3884,2004-02-27,2004,Club Dread,NA,5001655,7573551,tt0331953
3885,2009-09-17,2009,Bright Star,NA,4444637,17220091,tt0810784
3886,2001-09-21,2001,Glitter,NA,4273372,4273372,tt0118589
3887,2014-06-04,2014,The Rover,NA,1109199,3180252,tt2345737
3888,2004-04-23,2004,Silmido,NA,298347,30298347,"NA"
3889,2008-11-07,2008,Repo! The Genetic Opera,NA,140244,198883,tt0963194
3890,2017-10-20,2017,Posledniy bogatyr,NA,0,30700192,tt6175394
